t,wt,ql,sd
1765.0,141.73043478260868,4.875,2.986695333852036
1770.0,140.52991452991452,4.5,2.677608722587307
1775.0,144.1206896551724,5.0,2.477820661952454
1780.0,147.51304347826087,5.25,2.2381927872375837
1785.0,150.66666666666666,5.4375,2.223968730776587
1790.0,154.33333333333334,4.625,2.656021461810804
1795.0,150.0,3.9375,4.156354086219581
1800.0,152.35042735042734,3.125,4.252014183116917
1805.0,149.21487603305786,2.75,5.659725268890535
1810.0,150.63333333333333,2.875,5.644941834637408
1815.0,150.89915966386553,3.1875,5.131679577727857
1820.0,151.69230769230768,4.0625,3.626603145621401
1825.0,151.59130434782608,4.625,2.3936554211176513
1830.0,152.74107142857142,4.75,2.224914113005194
1835.0,154.64864864864865,5.125,2.048393879450809
1840.0,158.22522522522522,4.75,2.3112768573389735
1845.0,161.94545454545454,4.75,2.1798486069046588
1850.0,165.6422018348624,3.75,3.3008074403912904
1855.0,168.22935779816513,3.4375,4.125661271609183
1860.0,171.045871559633,4.125,3.9928301379020157
1865.0,174.23853211009174,4.4375,3.700568039474887
1870.0,177.5045871559633,4.4375,3.4300558237549286
1875.0,168.91666666666666,4.0625,3.7980195586129346
1880.0,168.76470588235293,3.5,3.5250868669670967
1885.0,171.50980392156862,3.375,4.543643676140825
1890.0,175.21782178217822,3.25,4.959093804761628
1895.0,178.45,3.1875,4.843418835001475
1900.0,181.3,3.5625,3.7433549715035785
1905.0,183.20408163265307,4.0,3.3544411483151433
1910.0,181.43010752688173,3.9375,2.4625715617256754
1915.0,183.55434782608697,3.625,3.2961987480587105
1920.0,186.8804347826087,3.8125,3.871706008523769
1925.0,190.09782608695653,3.625,3.4210389868295463
1930.0,192.58241758241758,3.0625,3.634797782844516
1935.0,192.38636363636363,3.0625,3.1498425743420757
1940.0,191.98837209302326,3.0625,3.3568573095000582
1945.0,184.4943820224719,3.5,2.9631388760703756
1950.0,184.09411764705882,3.5625,2.7419443677283613
1955.0,187.68235294117648,3.75,2.414514418400607
1960.0,191.03529411764706,3.4375,2.6717742700854212
1965.0,192.27710843373495,3.125,2.4906689645021887
1970.0,192.31645569620252,3.125,2.378193752253382
1975.0,193.78205128205127,3.0625,3.2406209823042462
1980.0,197.0897435897436,3.3125,3.136784475378094
1985.0,200.64102564102564,3.3125,3.082492702721808
1990.0,203.69333333333333,3.1875,2.7157147149312837
1995.0,206.94594594594594,2.875,4.019020114564772
2000.0,210.0,2.875,3.8875990504800937
2005.0,213.1081081081081,2.875,3.8731563040067694
2010.0,216.33783783783784,3.0625,3.574207083722956
2015.0,219.49295774647888,3.0,2.8343112138293525
2020.0,223.67142857142858,3.3125,2.412937211902265
2025.0,226.16176470588235,3.4375,2.2216378124818577
2030.0,229.07575757575756,3.375,1.7962704631171824
2035.0,232.1076923076923,3.375,1.755452847802779
2040.0,235.84375,3.0625,2.3344671715430385
2045.0,239.77777777777777,2.6875,3.3408736232341103
2050.0,246.6,2.125,4.460813500127087
2055.0,249.0,1.625,4.990793783813319
2060.0,251.15,1.6875,4.849351967630991
2065.0,253.15254237288136,2.0625,4.433559623806479
2070.0,251.78571428571428,2.375,3.677128083470659
2075.0,248.92307692307693,2.25,3.3227852809519884
2080.0,244.3125,1.5625,4.107501313193224
2085.0,242.4047619047619,1.3125,5.3948283937391155
2090.0,243.375,0.75,6.79475877220959
2095.0,244.76923076923077,0.375,8.712425055265246
2100.0,245.87179487179486,0.625,7.832935278242423
2105.0,247.35897435897436,0.875,6.7651981805051
2110.0,249.25641025641025,0.875,6.387445252435312
2115.0,256.2857142857143,0.875,5.184381069452692
2120.0,266.28125,0.75,4.585199493298646
2125.0,268.03125,0.625,6.605120152151864
2130.0,269.75,0.75,6.17843568377674
2135.0,271.96875,0.9375,6.118248147878038
2140.0,271.73333333333335,1.125,4.453396272970412
2145.0,270.1034482758621,1.25,3.9810895775125483
2150.0,244.72,1.25,2.6854211972390756
2155.0,241.30434782608697,1.1875,1.802538893231599
2160.0,244.9090909090909,1.0,2.347809346775003
2165.0,236.05,0.9375,2.89957293290464
2170.0,239.8,0.9375,3.1487009361386185
2175.0,243.7,1.0,1.9310570891590597
2180.0,247.85,0.9375,1.7969534226075876
2185.0,250.6,0.6875,3.8606059256377803
2190.0,250.73684210526315,0.4375,4.621408432432338
2195.0,252.57894736842104,0.4375,7.518702408400631
2200.0,254.31578947368422,0.375,7.977164106512648
2205.0,253.83333333333334,0.375,8.394243841038135
2210.0,248.13333333333333,0.125,7.204873870520356
2215.0,250.91666666666666,0.1875,8.18692775247059
2220.0,255.8181818181818,0.125,8.62443483473132
2225.0,260.0,0.125,9.136538463029218
2230.0,261.44444444444446,0.1875,6.814357156809981
2235.0,267.5,0.3125,4.202450562211712
2240.0,267.57142857142856,0.375,1.5532948862124416
2245.0,271.85714285714283,0.375,1.328175054763129
2250.0,276.7142857142857,0.4375,4.6334796546131606e-05
2255.0,281.42857142857144,0.375,0.9529936145826715
2260.0,285.7142857142857,0.375,1.8444032632648923
2265.0,290.0,0.375,1.7848176301094016
2270.0,294.2857142857143,0.375,1.6767390780652718
2275.0,298.57142857142856,0.375,1.6438059590959369
2280.0,302.57142857142856,0.3125,2.6310035350868453
2285.0,325.6666666666667,0.1875,4.489402437150492
2290.0,327.8333333333333,0.125,6.598418006659287
2295.0,329.1666666666667,0.0625,8.874204047875217
2300.0,329.6666666666667,0.0,10.26533753305968
2305.0,329.6666666666667,0.0,11.308879708771203
2310.0,323.4,0.0,9.190636141865017
2315.0,323.4,0.0,11.179585509128222
2320.0,308.0,0.0,11.46544571376523
2325.0,313.6666666666667,0.0,11.292581216216405
2330.0,246.0,0.0625,0.03002257291993611
2335.0,251.0,0.0625,0.0
2340.0,256.0,0.0625,0.0
2345.0,261.0,0.0625,0.0
2350.0,266.0,0.0625,0.0
2355.0,271.0,0.0625,0.0
2360.0,276.0,0.0625,0.0
2365.0,281.0,0.0625,0.0
2370.0,286.0,0.0625,0.0
2375.0,291.0,0.0625,0.0
2380.0,296.0,0.0625,0.0
2385.0,301.0,0.0625,0.0
2390.0,306.0,0.0625,0.0
2395.0,311.0,0.0625,0.0
2400.0,316.0,0.0625,0.0
2405.0,321.0,0.0625,0.0
